 EVENT_ID;TYPE;AUTHOR   ;DATE      ;TIME       ;LAT     ;LON      ;DEPTH;CENTROID;AUTHOR   ;EX;MO   ;MW  ;EX;MRR   ;MTT   ;MPP   ;MRT   ;MTP   ;MPR   ;STRIKE;DIP  ;RAKE   ;STRIKE;DIP  ;RAKE   ;EX;T_VAL ;T_PL ;T_AZM ;P_VAL ;P_PL ;P_AZM ;N_VAL ;N_PL ;N_AZM 
1726359;fe  ;GCMT     ;17/01/2000;20:09,3;6,87;-71,94;30,7;TRUE    ;GCMT     ;17;2,69;5,5;17;2,034;-0,118;-1,91;0,037;0,557;1,741;154;26;71;355;65;99;17;2,71;68;283;-2,68;20;78;-0,04;8;171
1733732;de  ;GCMT     ;19/03/2000;23:43,3;5,69;-77,61;15;TRUE    ;GCMT     ;16;8,85;5,2;16;-4,988;1,505;3,48;-3,174;-1,072;6,946;156;75;-90;337;15;-89;16;8,33;30;246;-9,37;60;65;1,04;0;156
1737728;de  ;GCMT     ;12/07/2000;12:24,4;6,54;-77,8;15;TRUE    ;GCMT     ;16;8,62;5,2;16;-7,636;1,774;5,86;0,477;-3,079;4,118;167;59;-75;319;34;-114;16;8,27;13;246;-8,96;72;113;0,68;13;339
1740128;de  ;NEIC     ;20/09/2000;37:16,3;-1,885;-80,461;33;        ;NEIC     ;17;1,5;5,4;17;0,66;0,12;-0,78;0,36;0,56;1,14;8;76;117;123;31;29;17;1,54;52;309;-1,48;26;76;-0,06;26;180
1740128;de  ;GCMT     ;20/09/2000;37:19,1;-2;-80,55;57,9;TRUE    ;GCMT     ;17;2,11;5,5;17;0,883;-1,321;0,43;0,054;1,572;0,851;81;59;23;339;70;147;17;1,93;37;296;-2,29;7;32;0,36;52;131
1912814;fe  ;CASC     ;31/10/2000;33:13,8;9,943;-79,672;20,1;        ;CASC     ;  ;     ;4,2;  ;      ;      ;      ;      ;      ;      ;234;52,8;64,6;      ;     ;       ;  ;      ;     ;      ;      ;     ;      ;      ;     ;      
1839808;de  ;NEIC     ;8/11/2000;59:58,9;7,042;-77,829;17;        ;NEIC     ;  ;     ;6,5;  ;      ;      ;      ;      ;      ;      ;175;80;90;355;10;90;  ;      ;55;85;      ;25;285;      ;0;0
1839808;de  ;NEIC     ;8/11/2000;59:58,9;7,042;-77,829;17;        ;NEIC     ;18;7,4;6,5;18;2,27;-0,86;-1,41;1,94;1,18;-6,75;163;81;96;305;11;53;18;7,51;53;80;-7,27;36;247;-0,24;6;342
1839808;de  ;NEIC     ;8/11/2000;59:58,9;7,042;-77,829;17;        ;PPT      ;18;9;6,5;  ;      ;      ;      ;      ;      ;      ;163;81;96;305;11;53;  ;      ;     ;      ;      ;     ;      ;      ;     ;      
1839808;de  ;GCMT     ;8/11/2000;00:15,7;7,12;-77,99;17;TRUE    ;GCMT     ;18;7,06;6,5;18;3,619;0,673;-4,29;0,106;1,819;-5,588;177;72;103;321;22;56;18;6,61;61;105;-7,52;26;257;0,92;12;353
1743064;ke  ;GCMT     ;16/12/2000;12:25,6;7,17;-78,02;27;TRUE    ;GCMT     ;17;1,37;5,4;17;0,606;0,251;-0,85;-0,115;0,487;-1,034;184;74;114;307;29;35;17;1,25;55;124;-1,48;25;256;0,22;23;357
2057026;fe  ;GCMT     ;8/09/2001;45:10,2;8,58;-74,83;34,1;TRUE    ;GCMT     ;16;5,53;5,1;16;0,622;4,975;-5,59;-0,863;0,909;-1,034;220;88;165;310;75;2;16;5,25;12;174;-5,82;9;266;0,57;75;31
2347453;fe  ;GCMT     ;19/11/2001;01:27,2;6,74;-72,9;153,7;TRUE    ;GCMT     ;16;10,05;5,3;16;0,211;8,695;-8,9;-1,56;-3,249;-3,438;56;82;-162;324;73;-9;16;9,38;6;189;-10,72;18;281;1,34;71;81
3004609;fe  ;GCMT     ;26/04/2002;36:30,7;6,59;-73,9;15;TRUE    ;GCMT     ;16;6,01;5,1;16;4,148;1,101;-5,24;-2,766;-0,095;2,361;207;38;136;334;65;61;16;6,17;59;201;-5,86;15;85;-0,31;26;348
3180819;ke  ;GCMT     ;7/06/2002;05:46,7;8,51;-77,69;61,7;TRUE    ;GCMT     ;17;3,1;5,6;17;0,557;-0,233;-0,32;-1,278;2,821;0,282;181;65;177;272;88;25;17;2,79;19;139;-3,41;16;44;0,62;65;277
3180819;ke  ;CASC     ;7/06/2002;05:46,9;8,88;-77,501;52,2;        ;CASC     ;  ;     ;5,4;  ;      ;      ;      ;      ;      ;      ;181;65;177;      ;     ;       ;  ;      ;     ;      ;      ;     ;      ;      ;     ;      
3208234;fe  ;NEIC     ;2/07/2002;24:29,1;5,017;-77,405;10;        ;NEIC     ;17;1,4;5,4;17;0,24;0,16;-0,4;-0,87;1,04;0,04;185;51;170;281;82;40;17;1,4;33;151;-1,42;21;46;0,02;50;290
3208234;fe  ;GCMT     ;2/07/2002;24:34,2;5,32;-77,07;15;TRUE    ;GCMT     ;16;7,05;5,2;16;-2,88;1,522;1,35;-5,68;0,758;-3,333;59;80;-88;226;11;-102;16;6,69;35;147;-7,42;55;331;0,73;2;238
3792565;se  ;RSNC     ;24/07/2002;38:08,7;4,689;-74,728;0;        ;RSNC     ;  ;     ;    ;  ;      ;      ;      ;      ;      ;      ;314,6;14,1;-44,6;      ;     ;       ;  ;      ;     ;      ;      ;     ;      ;      ;     ;      
