FECHA_HORA_UTC;REGION;LATITUD (°) LOCALIZACIÓN HIPOCENTRO;LONGITUD (°) LOCALIZACIÓN HIPOCENTRO;PROFUNDIDAD (Km) LOCALIZACIÓN HIPOCENTRO;MAGNITUD;AGENCIA;LATITUD (°) LOCALIZACIÓN CENTROIDE;LONGITUD (°) LOCALIZACIÓN CENTROIDE;PROFUNDIDAD (Km) LOCALIZACIÓN CENTROIDE;MAGNITUD_1;Mo (N.m);Strike plano 1 (°) PLANOS NODALES;Dip plano 1 (°) PLANOS NODALES;Rake plano 1 (°) PLANOS NODALES;Strike plano 2 (°) PLANOS NODALES;Dip plano 2 (°) PLANOS NODALES;Rake plano 2 (°) PLANOS NODALES;T-Plunge (°) EJES PRINCIPALES;T-Azimuth (°) EJES PRINCIPALES;N-Plunge (°) EJES PRINCIPALES;N-Azimuth (°) EJES PRINCIPALES;P-Plunge (°) EJES PRINCIPALES;P-Azimuth (°) EJES PRINCIPALES;Mxx (N.m) MOMENTO TENSOR;Myy (N.m) MOMENTO TENSOR;Mzz (N.m) MOMENTO TENSOR;Mxy (N.m) MOMENTO TENSOR;Myz (N.m) MOMENTO TENSOR;Mzx (N.m) MOMENTO TENSOR;Catalogo
26/12/2024 0:52;Tarazá - Antioquia, Colombia;7,29;-75,27;49;5,1;SGC;7,5;-75,4;50;4.9 Mw;3,196E+16;279;44;-42;42;62;-126;-97;57;60;31;-203;9;2,6092E+16;-4,6566E+15;-2,1436E+16;-1,2394E+16;1,6645E+16;-3,1206E+15;SWIFT
26/12/2024 0:52;Tarazá - Antioquia, Colombia;7,29;-75,27;49;5,1;SGC;7,29;-75,27;49;5.1 Mw;4,35803E+16;51;56;-110;264;39;-63;9;155;17;62;71;272;-3,92E+16;3,4E+16;5,2E+15;-5,8E+15;-1,76E+16;1,4E+16;SCMTV
26/12/2024 0:52;Tarazá - Antioquia, Colombia;7,29;-75,27;49;5,1;SGC;7,29;-75,27;49;5.1 Mw;4,31E+16;271;38;-44;39;65;-119;30;287;-45;232;30;178;-2.916E+**16;2.967E+**16;-0.051E+**16;-0.807E+**16;-2.436E+**16;1.827E+**16;ISOLA
24/12/2024 20:33;Maceo - Antioquia, Colombia;6,49;-74,76;55;4,6;SGC;6,5;-74,8;50;4.5 Mw;7,17E+15;48;60;-77;204;32;-111;-12;71;-138;10;129;14;2,0069E+15;4,0095E+15;-6,0163E+15;-3,1469E+15;1,7947E+15;-3,1842E+15;SWIFT
24/12/2024 20:33;Maceo - Antioquia, Colombia;6,49;-74,76;55;4,6;SGC;6,49;-74,76;56;4.6 Mw;7,2423E+15;203;32;-119;57;63;-73;16;134;15;229;68;359;-5,46533E+15;2,18271E+15;3,28262E+15;-3,80008E+15;-1,5454E+15;3,59406E+15;SCMTV
24/12/2024 20:33;Maceo - Antioquia, Colombia;6,49;-74,76;55;4,6;SGC;6,49;-74,76;60;4.6 Mw;7,9E+15;42;53;-91;224;37;-89;6;185;-43;269;47;281;-6.495E+**15;2.84E+**15;3.655E+**15;-1.321E+**15;-1.52E+**15;5.152E+**15;ISOLA
12/09/2024 8:34;Yalí - Antioquia, Colombia;6,75;-74,74;56;4,5;SGC;6,7;-74,8;55;4.5 Mw;7,011E+15;239;37;-84;52;53;-95;-58;81;54;3;-215;8;4,5354E+15;2,1671E+15;-6,7025E+15;-3,1662E+15;1,4912E+15;-1,3461E+15;SWIFT
12/09/2024 8:34;Yalí - Antioquia, Colombia;6,75;-74,74;56;4,5;SGC;6,81;-74,74;52;4.5 Mw;5,92427E+15;218;34;-101;51;56;-83;11;135;6;227;77;345;-5,28079E+15;2,56248E+15;2,7183E+15;-1,98958E+15;-1,14443E+15;2,98458E+15;SCMTV
6/05/2024 15:01;Buenavista - Córdoba, Colombia;8,09;-75,38;52;4,4;SGC;8,1;-75,2;30;4.4 Mw;4,386E+15;355;44;-91;176;46;-89;116;90;-4;0;-95;1;2,4057E+13;4,3588E+15;-4,3825E+15;3,2816E+14;-1,5728E+14;4,1513E+13;SWIFT
6/05/2024 15:01;Buenavista - Córdoba, Colombia;8,09;-75,38;52;4,4;SGC;8,09;-75,38;35;4.5 Mw;5,27849E+15;181;24;-87;357;66;-92;21;88;1;358;69;264;-4,33445E+15;1,00594E+15;3,32851E+15;2,58727E+14;-3,51515E+15;9,4126E+11;SCMTV
2/12/2022 23:09;Cúcuta - Norte de Santander, Colombia;8,03;-72,59;19;4,7;SGC;8,02;-72,59;23;4.6 Mw;9,18893E+15;345;65;3;254;88;155;19;207;65;69;16;302;1,72551E+15;3,19367E+15;-4,91918E+15;-3,34431E+15;-1,77266E+15;-7,17092E+15;SCMTV
20/09/2022 4:54;Amalfi - Antioquia, Colombia;6,9;-74,94;50;4,4;SGC;6,9;-74,9;45;4.4 Mw;5,015E+15;73;88;-3;163;87;-178;28;3;-141;90;118;0;-2,7974E+15;2,8154E+15;-1,8295E+13;-4,1444E+15;-8,9768E+13;-3,0175E+14;SWIFT
20/09/2022 4:54;Amalfi - Antioquia, Colombia;6,9;-74,94;50;4,4;SGC;6,91;-74,92;50;4.4 Mw;4,55432E+15;342;87;167;73;77;3;11;297;77;151;7;28;7,5E+14;-2,91E+15;2,15E+15;-3,3E+14;9,2E+14;3,6E+15;SCMTV
