lon;lat;depth;str1;dip1;rake1;str2;dip2;rake2;name;Catalogo
-75,27;7,29;49;279;44;-42;42;62;-126;MF_1;SGC
-74,76;6,49;55;48;60;-77;204;32;-111;MF_2;SGC
-74,74;6,75;56;239;37;-84;52;53;-95;MF_3;SGC
-75,38;8,09;52;355;44;-91;176;46;-89;MF_4;SGC
-72,59;8,03;19;345;65;3;254;88;155;MF_5;SGC
-74,94;6,9;50;73;88;-3;163;87;-178;MF_6;SGC
-74,3;7,84;52;243;46;-59;22;52;-118;MF_7;SGC
-74,11;6,52;10;178;65;101;334;27;69;MF_8;SGC
-73,94;6,09;11;257;62;140;8;55;34;MF_9;SGC
-73,94;6,09;11;28;47;53;256;54;123;MF_9;SGC
-74,16;6,22;20;312;79;-44;53;47;-165;MF_10;SGC
-75,06;8,14;9;13;74;-110;246;25;-40;MF_11;SGC
-72,41;5,98;0;118;78;133;221;44;17;MF_12;SGC
-72,78;7,77;0;110;82;-22;203;68;-171;MF_13;SGC
-73,33;6,47;28;7;41;38;246;66;124;MF_14;SGC
-73,36;6,53;32;18;88;-142;286;52;-3;MF_15;SGC
-73,13;7,4;0;340;87;-77;84;13;-166;MF_16;SGC
-72,91;6,38;4;128;65;-22;228;70;-153;MF_17;SGC
-73,13;5,72;0;149;88;-3;239;87;-178;MF_18;SGC
-72,75;6,54;15;94;35;-12;194;83;-124;012178A;CMT
-72,9;5,76;15;227;90;-180;317;90;0;062591D;CMT
-73,9;6,59;15;207;38;136;334;65;61;042602A;CMT
-74,07;7,27;24;170;48;45;47;59;128;052179F;CMT
-74,93;7,76;34;247;65;-154;145;67;-27;201308252335A;CMT
-74,05;5,97;35;329;68;23;230;68;157;011782B;CMT
-72,64;7,96;40;57;64;170;151;81;26;112680A;CMT
-74,58;6,91;44;238;34;-99;68;56;-84;202409120834A;CMT
-75,2;7,25;44;278;43;-52;51;58;-120;202412260052A;CMT
-72,152;8,392;0;127;68;-30;      ;     ;       ;606750405;ISC
-72,114;7,134;0;20;42;118;      ;     ;       ;607262901;ISC
-72,699;5,339;0;102;77;138;      ;     ;       ;608095651;ISC
-73,132;7,405;0;44;61;-163;      ;     ;       ;609394331;ISC
-72,777;7,766;0;110;82;-22;      ;     ;       ;610598464;ISC
-72,414;5,975;0;118;78;133;      ;     ;       ;615284800;ISC
-71,985;7,476;0;60;17;-94;      ;     ;       ;610895638;ISC
-72,066;7,382;0;151;47;38;      ;     ;       ;611147145;ISC
-65,109;6,519;0,1;208,5;60,5;-5,7;      ;     ;       ;6847748;ISC
-73,705;4,189;0,1;56;83;-162;      ;     ;       ;604724184;ISC
-75,152;7,812;0,3;110;39;78;      ;     ;       ;608812084;ISC
-74,615;6,622;0,5;88;62;-122;      ;     ;       ;606909550;ISC
-71,952;7,15;0,6;8;90;90;      ;     ;       ;608129249;ISC
-76,1814;6,3545;1,8;27,73;77,74;-75,38;156,87;18,99;-139,28;619878757;ISC
-73,273;6,395;2,5;105;49;-142;      ;     ;       ;607011057;ISC
-72,102;8,356;2,6;51;80;136;      ;     ;       ;606760273;ISC
-74,294;6,064;3,7;159;59;-22;      ;     ;       ;607776780;ISC
59,5384;7,3709;4;191,01;62,93;-15,08;288;76,6;-152,11;608607906;ISC
-74,3;6,316;4;38;48;138;      ;     ;       ;607769482;ISC
-74,269;6,293;4;0;29;98;      ;     ;       ;607769644;ISC
-74,128;6,588;4;127;47;-122;      ;     ;       ;607770900;ISC
61,3555;5,715;4;114,28;33,32;-97,16;302,82;56,98;-85,32;606005198;ISC
-72,754;5,331;4;154;80;18;      ;     ;       ;608347156;ISC
-72,906;6,385;4;128;65;-22;      ;     ;       ;609344261;ISC
-72,2;7,069;4;104;60;138;      ;     ;       ;609912301;ISC
-33,9954;7,1821;4;180,93;84,81;-20,07;272,83;70,02;-174,47;626254750;ISC
-72,203;6,593;4,1;70;87;-44;      ;     ;       ;616639706;ISC
-72,192;7,209;4,6;109;45;78;      ;     ;       ;609377145;ISC
-36,758;7,517;5;90;67;166;185;77;24;13395860;ISC
-72,025;7,241;5,3;26;68;49;      ;     ;       ;605406436;ISC
-39,251;8,037;6;179;85;-10;270;80;-175;12808963;ISC
-39,251;8,037;6;179;85;-10;270;80;-175;12808963;ISC
-37,238;7,7;6;2;83;15;271;75;173;618985510;ISC
-32,8349;5,524;6;188,49;53,7;-75,61;345,06;38,68;-108,69;636786489;ISC
-72,5289;8,0635;7;75,2;76,11;-167,76;342,22;78,12;-14,2;625346965;ISC
-34,897;7,313;8;90;85;175;180;85;5;12949668;ISC
-34,897;7,313;8;90;67;177;181;87;23;12949668;ISC
36,751;5,409;9;126;79;-65;238;27;-156;456150;ISC
31,829;5,277;9;74;37;-81;243;53;-97;370208;ISC
-38,705;8,093;9;178;80;-5;269;85;-170;13393977;ISC
-38,705;8,093;9;92;80;169;184;79;10;13393977;ISC
-36,3863;7,3486;9;4,55;89,41;-8,78;94,64;81,22;-179,4;607264426;ISC
-75,322;7,405;9,9;18;18;-162;      ;     ;       ;611603137;ISC
-34,74;7,74;10;86;80;-171;355;81;-10;699378;ISC
-38,25;8,25;10;5;90;0;275;90;180;606802;ISC
-34,35;7,25;10;164;63;-75;314;31;-116;566542;ISC
-33,72;7,19;10;4;31;-113;210;62;-77;547971;ISC
-38,82;8,36;10;183;88;-17;274;73;-177;538115;ISC
-33,32;6,94;10;12;62;-19;111;73;-151;537087;ISC
35,96;5,72;10;29;68;-113;258;31;-45;518487;ISC
-33,88;7,53;10;90;69;-155;350;67;-23;509288;ISC
31,654;5,395;10;58;85;176;148;86;5;362203;ISC
-38,026;8,069;10;194;64;-72;337;31;-122;1658273;ISC
-37,704;7,641;10;260;85;175;350;85;5;7235435;ISC
-37,704;7,641;10;104;67;178;194;88;23;7235435;ISC
-36,93;7,511;10;90;69;179;180;89;21;10697652;ISC
-38,34;8,52;10;4;89;-2;94;87;-178;13393977;ISC
-36,92;8,16;10;8;71;16;272;75;161;13395860;ISC
-34,206;7,103;10;76;89;179;166;89;1;15049439;ISC
61,511;5,649;10;69;75;164;164;75;15;600933496;ISC
-34,073;7,048;10;4;80;-9;96;81;-170;601869850;ISC
-32,96;5,541;10;33;76;-12;126;78;-166;602445327;ISC
61,3661;5,9132;10;86,94;80,81;-8,06;178,24;82,04;-170,72;606069120;ISC
-32,754;5,706;10;196,96;89,82;-1,93;286,97;88,07;-179,82;611653670;ISC
-36,2376;7,4407;10;3,56;81,22;16,3;271;73,9;170,86;611943933;ISC
-37,7083;7,6608;10;3,85;78,86;-17,6;97,36;72,74;-168,32;619640882;ISC
-37,999;8,063;10;22,51;61,98;-70,62;165,69;33,62;-121,94;614583541;ISC
-37,0977;7,5298;10;8,42;73,89;19,01;272,96;71,76;163,02;615301136;ISC
-37,064;7,5623;10;4,94;81,24;-1,14;95,11;88,88;-171,24;616223610;ISC
-35,4035;7,321;10;5,22;82,51;-1,84;95,46;88,17;-172,51;616779595;ISC
-38,121;8,221;10;180,42;58,99;-79,36;340,39;32,62;-107,07;622042184;ISC
-37,1544;7,6829;10;180,53;84,98;-5,76;271,04;84,26;-174,95;618985510;ISC
-37,0931;7,7831;10;0,18;89,36;15,47;270,01;74,53;179,33;619061761;ISC
60,14;6,713;10;148,74;41,93;-65,86;297,67;52,42;-110,17;625750346;ISC
-36,72;7,487;10;174,73;52,88;-89,98;354,7;37,12;-90,03;635804195;ISC
-32,869;5,329;10;14,93;86,38;5,52;284,58;84,49;176,36;636787270;ISC
-33,037;5,73;10;163,18;45,61;-82,2;332,09;44,93;-97,9;636786485;ISC
-32,962;5,692;10;173,33;41,33;-80,15;340,31;49,41;-98,56;636786489;ISC
-38,259;8,13;10;16,08;47,19;-73;171,86;45,44;-107,52;637116646;ISC
-37,79;7,803;10;14,09;48,69;-83,32;184,04;41,75;-97,54;637116641;ISC
-75,21;6,888;10,9;44;75;-82;      ;     ;       ;607769122;ISC
-32,84;5,79;11;182;49;-85;355;41;-95;602445327;ISC
-35,496;7,112;11;3,3;84,47;2,59;273,05;87,43;174,47;617626349;ISC
61,32;5,3;11,5;146;21;-58;292;72;-101;606005198;ISC
-38,0037;8,4157;11,5;193,47;26,94;-63,14;343,87;66,16;-102,93;614583541;ISC
-37;7,5257;11,5;182,61;55,68;-3,54;274,61;87,07;-145,63;615301136;ISC
-37,0697;7,5635;11,5;180,43;68,49;-2,15;271,21;88;-158,48;616223610;ISC
-37,2043;7,6876;11,5;181,58;78,67;-22,83;276,31;67,63;-167,73;618985510;ISC
-36,528;7,5587;11,5;165,85;19,07;-92,39;348,39;70,95;-89,17;635804195;ISC
-32,9552;5,5763;11,5;160,07;44,79;-91,57;342,28;45,23;-88,44;636786485;ISC
-32,8349;5,424;11,5;204,33;39,24;-52,28;339,37;59,97;-116,55;636786489;ISC
-72,033;7,414;12;155;47;76;356;44;105;175831;ISC
56,41;14,42;12;119;29;-99;309;61;-85;7229506;ISC
-32,85;5,64;12;163;59;-93;348;31;-85;7309019;ISC
-34,02;7,28;12;5;88;-7;96;83;-178;7484550;ISC
61,04;5,67;12;105;34;73;305;58;101;7996988;ISC
61,01;5,72;12;105;24;80;296;67;94;7996997;ISC
-38,1;8,15;12;178;58;-87;352;32;-95;7997236;ISC
59,63;7,3;12;144;29;-96;331;61;-86;9181419;ISC
-34,64;7,44;12;161;53;-86;335;37;-95;11121798;ISC
60,78;6,02;12;110;40;-107;312;52;-76;8788767;ISC
60,76;6;12;115;33;-107;316;59;-79;8788771;ISC
-39,43;8,64;12;15;49;-78;177;42;-104;11498499;ISC
-39,39;8,73;12;1;52;-93;185;38;-87;11498549;ISC
-39,42;8,58;12;1;46;-100;194;45;-80;11498648;ISC
-39,44;8,62;12;194;46;-80;360;45;-100;11498704;ISC
-39,17;8,19;12;1;86;13;270;77;176;12808963;ISC
-34,71;7,46;12;267;87;166;358;76;4;13203075;ISC
-37,89;8,2;12;194;51;-70;345;43;-113;13391742;ISC
61,23;5,71;12;130;33;-75;293;58;-100;13391862;ISC
58,92;7,99;12;117;37;-68;270;56;-106;13392461;ISC
-37,97;8,11;12;165;57;-84;334;33;-99;12077316;ISC
-39,65;8,82;12;5;78;20;271;70;167;13786601;ISC
60,34;6,48;12;96;33;-144;335;71;-62;13921290;ISC
61,12;5,87;12;109;35;77;305;56;99;13962843;ISC
38,62;6,81;12;17;51;-108;223;42;-70;16339535;ISC
60,63;6,21;12;104;38;-133;334;63;-62;17205686;ISC
-34,55;7,39;12;170;42;-82;339;49;-97;600849933;ISC
61,39;5,67;12;134;30;-67;288;63;-103;600933496;ISC
-39,56;8,18;12;16;47;17;274;78;136;601902238;ISC
-32,85;5,75;12;177;40;-79;343;51;-99;602445327;ISC
59,52;7,54;12;181;48;-35;296;65;-132;608607906;ISC
59,56;7,44;12;186;46;-42;308;61;-128;604023599;ISC
-37,98;8,01;12;16;50;-69;165;44;-113;604540741;ISC
60,29;6,47;12;145;35;-65;296;59;-106;605725988;ISC
-39,39;8,68;12;9;40;-90;189;50;-90;605566735;ISC
61,15;5,76;12;126;33;-69;281;60;-103;605716584;ISC
61,17;5,78;12;126;32;-70;283;60;-102;605737134;ISC
61,29;5,74;12;130;41;-81;298;50;-98;606622828;ISC
61,22;5,76;12;139;49;-96;329;42;-83;605741117;ISC
61,22;5,72;12;123;33;-78;288;58;-98;605742593;ISC
61,25;5,73;12;133;31;-69;289;61;-102;605743502;ISC
61,23;5,78;12;140;30;-60;287;64;-106;606005186;ISC
61;5,61;12;124;43;129;256;58;60;605745254;ISC
61,28;5,69;12;129;33;-79;295;57;-97;606005198;ISC
61,27;5,73;12;98;35;-110;302;57;-77;606005201;ISC
61,3;5,7;12;112;31;-95;297;59;-87;606064120;ISC
61,16;5,98;12;133;34;111;289;58;77;606069120;ISC
61,2;5,87;12;114;44;74;315;48;104;606928634;ISC
61,24;5,89;12;143;39;116;291;56;71;610574252;ISC
61,36;5,77;12;104;36;45;335;65;117;606177983;ISC
-32,86;5,84;12;162;37;-68;315;56;-106;606930581;ISC
60,25;6,52;12;119;30;-108;319;61;-80;606930687;ISC
60,11;6,6;12;136;33;-66;287;61;-105;606930726;ISC
60,12;6,6;12;138;31;-63;287;63;-105;606436926;ISC
60,15;6,57;12;135;30;-66;288;63;-103;606436927;ISC
-37,92;8,11;12;7;53;-83;175;37;-100;607172794;ISC
-36,35;7,57;12;182;80;-2;272;88;-170;607264426;ISC
-34,24;7,28;12;90;84;177;180;87;6;608030048;ISC
60,39;6,39;12;146;33;-80;315;57;-96;608516895;ISC
-35,86;7,45;12;92;90;173;182;83;0;608874570;ISC
61,4;5,57;12;145;32;-60;291;63;-107;612638062;ISC
38,8;7,61;12;3;45;-96;191;45;-84;615345447;ISC
-32,83;5,75;12;212;47;-40;331;62;-130;611610414;ISC
-32,84;5,78;12;192;53;-63;331;45;-121;611653670;ISC
-75,054;8,141;12;130;10;-125;      ;     ;       ;611661103;ISC
-37,92;8,04;12;197;48;-78;359;43;-103;611818831;ISC
-36,214;7,398;12;91;80;-173;360;84;-10;611943933;ISC
-37,96;8,22;12;167;54;-30;275;66;-140;612219202;ISC
-37,41;7,72;12;2;88;21;271;69;178;612651954;ISC
