FECHA_HORA_UTC;REGION;LATITUD (°) LOCALIZACIÓN HIPOCENTRO;LONGITUD (°) LOCALIZACIÓN HIPOCENTRO;PROFUNDIDAD (Km) LOCALIZACIÓN HIPOCENTRO;MAGNITUD ;AGENCIA ;LATITUD (°) LOCALIZACIÓN CENTROIDE;LONGITUD (°) LOCALIZACIÓN CENTROIDE;PROFUNDIDAD (Km) LOCALIZACIÓN CENTROIDE;MAGNITUD ;Mo (N.m);Strike plano 1 (°) PLANOS NODALES;Dip plano 1 (°) PLANOS NODALES;Rake plano 1 (°) PLANOS NODALES;Strike plano 2 (°) PLANOS NODALES;Dip plano 2 (°) PLANOS NODALES;Rake plano 2 (°) PLANOS NODALES;T-Plunge (°) EJES PRINCIPALES;T-Azimuth (°) EJES PRINCIPALES;N-Plunge (°) EJES PRINCIPALES;N-Azimuth (°) EJES PRINCIPALES;P-Plunge (°) EJES PRINCIPALES;P-Azimuth (°) EJES PRINCIPALES;Mxx (N.m) MOMENTO TENSOR;Myy (N.m) MOMENTO TENSOR;Mzz (N.m) MOMENTO TENSOR;Mxy (N.m) MOMENTO TENSOR;Myz (N.m) MOMENTO TENSOR;Mzx (N.m) MOMENTO TENSOR;Catalogo
2014-02-17 09:41:37;Tame - Arauca, Colombia;6,5;-71,72;43;5,5;SGC;6,6;-72;35;5.4 Mw;1,548E+17;3;81;102;128;15;36;;;;;;;3,1946e+15;-4,9985e+16;4,6791e+16;-2,9169e+16;-1,4355e+17;1,2565e+16;SWIFT
2014-03-27 10:21:16;Puerto Gaitán - Meta, Colombia;3,93;-71,58;4;4,3;SGC;3,5;-71,1;5;4.8 Mw;2,314E+16;299;4;-52;81;87;-92;;;;;;;2,7841e+15;-2,4630e+14;-2,5378e+15;5,4945e+14;3,6756e+15;-2,2683e+16;SWIFT
2014-03-30 08:36:59;Los Santos - Santander, Colombia;6,8;-73,16;142;4,6;SGC;6,5;-73,5;180;4.9 Mw;2,538E+16;198;74;-29;297;62;-162;;;;;;;-1,1920e+16;1,8440e+16;-6,5204e+15;1,5347e+16;-8,0333e+15;9,0436e+15;SWIFT
2014-06-01 02:37:35;Venezuela;10,34;-72,86;4;4,7;SGC;10,4;-73;40;4.7 Mw;1,669E+16;286;35;167;27;83;56;;;;;;;-8,2029e+15;4,6749e+15;3,5280e+15;6,9755e+15;-1,2451e+16;4,9062e+15;SWIFT
2014-07-12 22:37:13;Los Santos - Santander, Colombia;6,8;-73,16;144;4,5;SGC;6,7;-72,9;140;4.1 Mw;1,905E+15;40;35;-65;190;59;-106;;;;;;;2,1557e+14;1,4068e+15;-1,6224e+15;-7,1869e+14;-8,7626e+14;-1,2563e+14;SWIFT
2014-10-01 15:37:29;Los Santos - Santander, Colombia;6,81;-73,14;156;4,6;SGC;6,8;-73,1;140;4.3 Mw;3,556E+15;22;60;-11;118;80;-150;;;;;;;-2,0175e+15;2,6051e+15;-5,8761e+14;1,9705e+15;-3,3926e+14;-1,7453e+15;SWIFT
2014-11-20 05:40:10;Los Santos - Santander, Colombia;6,82;-73,17;154;4,7;SGC;6,834;-73,168;155;4.3 Mw;4.004e+15 ;355;54;-60;130;46;-125;4;64;24;156;66;325;-3.266E+15;0.232E+15;3.034E+15;-1.05E+15;-1.1E+15;-1.939E+15;ISOLA
2014-11-25 20:20:16;Los Santos - Santander, Colombia;6,82;-73,17;150;5,3;SGC;6,801;-73,13;155;4.8 Mw;2.206e+16 ;150;40;53;14;59;117;65;333;23;180;10;85;1.754E+16;0.262E+16;-2.016E+16;0.754E+16;0.764E+16;0.33E+16;ISOLA
2014-02-07 20:37:11;Los Santos - Santander, Colombia;6,8;-73,16;156;5,4;SGC;;;;;;154+/-3;55+/-3;57+/-2;23+/-3;47+/-3;128+/-2;;;;;;;;;;;;;POLARIDADES
2014-03-24 20:28:34;Montecristo - Bolívar, Colombia;8,38;-74,48;46,2;4,2;SGC;;;;;;118+/-6;38+/-11;77+/-6;314+/-6;53+/-11;100+/-6;;;;;;;;;;;;;POLARIDADES
2014-06-12 06:30:41;Villavicencio - Meta, Colombia;4,19;-73,7;0,1;4,3;SGC;;;;;;56+/-6;83+/-5;-162+/-10;324+/-6;72+/-5;-7+/-10;;;;;;;;;;;;;POLARIDADES
2014-08-24 08:04:59;Pácora - Caldas, Colombia;5,48;-75,49;2,7;3,9;SGC;;;;;;159+/-2;79+/-5;-2+/-2;249+/-2;88+/-5;-169+/-2;;;;;;;;;;;;;POLARIDADES
2014-10-19 02:20:33;La Celia - Risaralda, Colombia;4,97;-75,98;114,3;4,7;SGC;;;;;;141+/-4;78+/-3;-180+/-6;51+/-4;90+/-3;-12+/-6;;;;;;;;;;;;;POLARIDADES
2014-11-25 20:20:16;Los Santos - Santander, Colombia;6,82;-73,17;150;5,3;SGC;;;;;;20+/-2;43+/-3;154+/-9;130+/-2;73+/-3;50+/-9;;;;;;;;;;;;;POLARIDADES
2014-12-14 01:49:30;Fúquene - Cundinamarca, Colombia;5,45;-73,75;151,1;5;SGC;;;;;;1+/-6;76+/-5;-102+/-4;222+/-6;18+/-5;-50+/-4;;;;;;;;;;;;;POLARIDADES
2015-03-10 20:55:44;Los Santos - Santander, Colombia;6,82;-73,13;158;6,4;SGC;7,1;-73;120;6.5 Mw;6,869E+18;29;85;-18;121;72;-175;;;;;;;-5,4324e+18;5,8010e+18;-3,6859e+17;3,2924e+18;1,5523e+18;-1,5114e+18;SWIFT
2015-08-09 19:36:19;Sinamaica - Zulia, Venezuela, Colombia;10,84;-72,19;115;5;SGC;10,6;-72,5;60;4.9 Mw;3,156E+16;268;83;9;177;81;173;;;;;;;-3,3511e+15;2,1568e+15;1,1944e+15;-3,0822e+16;3,9637e+15;-4,6549e+15;SWIFT
2015-09-18 04:35:09;Sevilla - Valle del Cauca, Colombia;4,11;-75,87;0;4,7;SGC;4,2;-75,9;15;4.4 Mw;5,054E+15;52;50;150;162;67;44;;;;;;;1,7080e+15;-4,1966e+15;2,4886e+15;2,0185e+15;1,9468e+15;2,0779e+15;SWIFT
2015-10-14 07:47:19;La Esperanza - Norte de Santander, Colombia;7,74;-73,33;118;5,5;SGC;7,8;-73,3;100;5.1 Mw;4,944E+16;351;29;26;238;78;116;;;;;;;6,2074e+15;-2,4587e+16;1,8380e+16;1,7649e+16;1,7423e+16;-3,6590e+16;SWIFT
2015-10-29 22:40:25;Los Santos - Santander, Colombia;6,81;-73,14;153;4,4;SGC;6,8;-73,1;140;4.2 Mw;2,363E+15;29;59;-9;124;82;-149;;;;;;;-1,6199e+15;1,9462e+15;-3,2639e+14;9,2173e+14;-4,3098e+14;-1,1355e+15;SWIFT
2015-03-10 20:55:44;Los Santos - Santander, Colombia;6,82;-73,13;158;6,4;SGC;6,83;-73,136;140;6.3 Mw;3.367e+18 ;24;66;-74;170;28;-121;20;103;14;198;65;321;-2.281E+18;-0.43E+18;2.711E+18;-1.132E+18;-1.865E+18;0.457E+18;ISOLA
2015-03-24 20:52:27;Los Santos - Santander, Colombia;6,8;-73,15;154;4,5;SGC;6,801;-73,154;150;4.3 Mw;3.400e+15 ;141;90;25;51;65;180;17;9;65;142;17;274;0.403E+15;2.798E+15;-3.2E+15;0.641E+15;-1.291E+15;-0.609E+15;ISOLA
