Year Date HRMM;Fecha;Sec;Error;L;E Latitud;Error;Longitud;Error;Depth;Error;FF AGA;NST;RMS;GAP;Mc;Ml;Mw;Mb;Ms;MW;STRIK;DIP;RAKE;Mom;Strs;f0;r Macro Locality                                   MB       MS
200.204.260.136;26/04/2002 1:36;28,4;1,51;L;6,716;5,6;-73,707;5,7;4,1;13,7;RSN;11;1;112;;5,4;RSN;;;;;;;;;;
200.305.050.057;5/05/2003 0:57;9,1;1,53;L;6,563;6,4;-73,322;10,1;0;14,8;RSN;9;0,9;95;;4,9;RSN;;;;;;;;;;
199.804.181.424;18/04/1998 14:24;10,6;1,22;L;6,696;5,9;-73,471;10,4;12;18,3;RSN;13;0,9;104;;4,4;RSN;;;;;;;;;;
201.206.201.738;20/06/2012 17:38;29,7;2,75;L;6,575;6,9;-74,122;5,8;0,7;11,1;RSN;19;1,4;57;;4,4;RSN;;;4,5;RSN;;;15,8;60,4;3,16;0,93
201.504.110.429;11/04/2015 4:29;0,8;1,51;L;6,396;2,3;-73,276;3,1;2,7;5,3;RSN;24;0,7;121;;4,4;RSN;;;4,3;RSN   105;49;-141;15,6;122,2;2,44;0
200.010.271.844;27/10/2000 18:44;27;0,56;L;6,353;15,3;-73,839;14;0;16,6;RSN;4;0,4;272;;4,3;RSN;;;;;;;;;;
200.309.270.248;27/09/2003 2:48;24;1,41;L;6,654;10;-74,11;9,3;22,9;17,1;RSN;10;0,8;124;;4,3;RSN;;;;;;;;;;
200.010.250.714;25/10/2000 7:14;42,4;0,5;L;6,411;13,8;-73,781;13,1;4,6;12;RSN;6;0,4;275;;3,9;RSN;;;;;;;;;;
201.701.301.028;30/01/2017 10:28;22,5;1,09;L;6,533;2,4;-73,364;2,8;32;3,4;RSN;28;0,6;59;;3,9;RSN;;;4,2;RSN    18;88;-141;15,3;50,9;2,42;0,86
199.801.260.341;26/01/1998 3:41;32,9;0,3;L;6,427;4,4;-73,065;9,7;63,7;7,9;RSN;5;0,1;217;;3,8;RSN;;;;;;;;;;
199.901.181.743;18/01/1999 17:43;17,7;1,25;L;6,375;4,2;-73,796;3,6;4,1;7,2;RSN;8;0,6;106;;3,8;RSN;;;;;;;;;;
200.010.302.226;30/10/2000 22:26;33,9;0,61;L;6,556;17;-73,728;37,8;32,1;120,8;RSN;3;0,4;321;;3,8;RSN;;;;;;;;;;
200.710.050.359;5/10/2007 3:59;10,5;0,69;L;6,459;3,6;-74,065;3,5;32,1;20,1;RSN;11;0,5;116;;3,7;RSN;;;;;;;;;;
201.003.192.139;19/03/2010 21:39;0,7;1,08;L;6,781;2,7;-73,876;4,7;16;7,6;RSN;14;0,5;62;;3,7;RSN;;;;;;;;;;
199.801.260.341;26/01/1998 3:41;8,8;0,52;L;6,325;2,5;-73,62;3,2;0;7,9;RSN;7;0,4;144;;3,6;RSN;;;;;;;;;;
200.305.070.013;7/05/2003 0:13;41,4;2,25;L;6,629;9,6;-73,33;16,4;0;26;RSN;8;1,2;104;;3,6;RSN;;;;;;;;;;
201.105.120.327;12/05/2011 3:27;51,6;0,88;L;6,889;1,8;-73,547;2,4;13,1;4,2;RSN;14;0,4;61;;3,6;RSN;;;;;;;;;;
201.607.091.255;9/07/2016 12:55;51,2;0,78;L;6,541;1,3;-74,1;1,3;15,4;2,3;RSN;29;0,4;47;;3,6;RSN;;;3,9;RSN   118;78;78;14,9;62,1;3,18;0,71
199.403.280.618;28/03/1994 6:18;35,2;0,68;L;7,085;10,7;-73,764;13,9;102;25,8;RSN;7;0,7;233;;3,5;RSN;;;;;;;;;;
199.410.011.201;1/10/1994 12:01;37;0,54;L;7,125;9,1;-73,9;7,6;4,1;15,1;RSN;5;0,3;246;;3,5;RSN;;;;;;;;;;
199.801.180.041;18/01/1998 0:41;0,1;0,64;L;6,318;3,1;-73,618;3,9;0;9,1;RSN;7;0,6;130;;3,5;RSN;;;;;;;;;;
200.004.301.354;30/04/2000 13:54;55,2;0,32;L;6,497;7,8;-74,149;4,9;10,8;17,3;RSN;5;0,2;187;;3,5;RSN;;;;;;;;;;
200.705.020.132;2/05/2007 1:32;44,8;0,78;L;7,071;5,5;-73,352;12,6;23,5;14,8;RSN;8;0,5;159;;3,5;RSN;;;;;;;;;;
200.810.251.233;25/10/2008 12:33;56,5;1,09;L;6,889;5,9;-73,531;20,8;5,1;39,4;RSN;7;0,6;122;;3,5;RSN;;;;;;;;;;
201.306.050.955;5/06/2013 9:55;36,1;1,25;L;7,243;3;-73,758;2,9;3,1;5,9;RSN;12;0,6;63;;3,5;RSN;;;3,6;RSN;;;14,4;14;3,61;0,55
199.801.180.718;18/01/1998 7:18;17,1;0,64;L;6,314;3,1;-73,594;4,5;0;11;RSN;8;0,7;143;;3,4;RSN;;;;;;;;;;
200.101.140.007;14/01/2001 0:07;56,2;0,53;L;6,408;16,7;-73,939;13,2;25,5;48;RSN;3;0,4;271;;3,4;RSN;;;;;;;;;;
200.102.171.254;17/02/2001 12:54;0,4;0,6;L;6,741;3,5;-73,248;8,9;0,1;13,3;RSN;4;0,6;196;;3,4;RSN;;;;;;;;;;
200.410.070.948;7/10/2004 9:48;30,2;1,41;L;6,57;5,6;-73,325;9,4;0;11,7;RSN;8;0,9;100;;3,4;RSN;;;;;;;;;;
200.502.181.444;18/02/2005 14:44;16,9;0,66;L;6,393;6,5;-73,926;4,6;48,4;33,1;RSN;8;0,4;115;;3,4;RSN;;;;;;;;;;
200.603.140.956;14/03/2006 9:56;58,4;1,13;L;6,475;4,8;-73,801;5,2;2,8;9,2;RSN;7;0,7;114;;3,4;RSN;;;;;;;;;;
201.307.070.523;7/07/2013 5:23;51,2;1,28;L;6,994;2,1;-73,965;2;4,3;3,4;RSN;23;0,6;57;;3,4;RSN;;;4,2;RSN;;;15,4;2,7;0,907;0,29
201.402.261.910;26/02/2014 19:10;37,7;1,14;L;6,446;2,6;-73,77;2,3;0;5,5;RSN;12;0,5;72;;3,4;RSN;;;;;;;;;;
199.912.260.411;26/12/1999 4:11;3,8;0,39;L;7,101;1,5;-74,016;3,2;11,3;3,6;RSN;4;0,1;218;;3,3;RSN;;;;;;;;;;
200.011.161.614;16/11/2000 16:14;49,2;0,54;L;6,599;11,8;-73,462;11,9;80,5;40,1;RSN;4;0,5;289;;3,3;RSN;;;;;;;;;;
200.206.160.915;16/06/2002 9:15;21,8;1,7;L;6,768;7,1;-73,719;7;4,4;15,4;RSN;7;1,2;123;;3,3;RSN;;;;;;;;;;
200.410.221.648;22/10/2004 16:48;14,5;0,95;L;7,034;3,8;-73,995;4,1;4;8,6;RSN;8;0,6;118;;3,3;RSN;;;;;;;;;;
200.411.270.948;27/11/2004 9:48;53,8;1,03;L;6,561;5,6;-73,351;14,7;21,3;14,6;RSN;6;0,8;101;;3,3;RSN;;;;;;;;;;
200.903.142.010;14/03/2009 20:10;13,1;1,27;L;7,226;5,1;-74,07;5,5;2;12;RSN;5;0,9;162;;3,3;RSN;;;;;;;;;;
199.709.171.416;17/09/1997 14:16;7,1;1,49;L;7,201;41,4;-73,801;10,9;4,1;26,5;RSN;5;0,8;255;;3,2;RSN;;;;;;;;;;
199.801.130.917;13/01/1998 9:17;23,8;1,01;L;6,337;4,9;-73,626;6,6;0;17,2;RSN;6;0,6;145;;3,2;RSN;;;;;;;;;;
199.801.210.708;21/01/1998 7:08;31,3;0,91;L;6,312;5,8;-73,61;5,9;0;10,5;RSN;6;0,9;192;;3,2;RSN;;;;;;;;;;
200.001.211.218;21/01/2000 12:18;43,5;0,78;L;6,817;4,6;-73,599;11,4;5,3;23,4;RSN;6;0,7;119;;3,2;RSN;;;;;;;;;;
200.010.280.706;28/10/2000 7:06;39,6;0,58;L;6,528;25,7;-73,705;22,9;31,8;60,9;RSN;4;0,6;281;;3,2;RSN;;;;;;;;;;
200.102.062.019;6/02/2001 20:19;3;0,55;L;6,324;3;-73,536;4,8;1,8;6,9;RSN;4;0,3;180;;3,2;RSN;;;;;;;;;;
200.406.021.839;2/06/2004 18:39;3,6;1,37;L;7,027;129,7;-73,745;87,5;5,5;182,3;RSN;5;0,8;243;;3,2;RSN;;;;;;;;;;
200.408.201.250;20/08/2004 12:50;57,9;1,85;L;6,599;12,1;-73,543;8,4;0;17,9;RSN;8;1,2;109;;3,2;RSN;;;;;;;;;;
