Fecha;Latitud;Error_Lat;Longitud;Error_Long;Depth;Error_Depth;NST;RMS;GAP;Ml;STRIK;DIP;RAKE;Cluster
14/11/2017;6,665;1,5;-74,075;1,4;2;2,9;21;0,3;83;2,5;266;43;-88;12
11/11/2017;6,674;2,5;-74,062;2,4;2;5,3;19;0,6;83;2,5;266;37;-87;12
19/10/2017;6,661;1,5;-74,076;1,2;4;3,5;9;0,4;82;2,1;264;41;-90;12
29/09/2017;6,632;3,1;-74,083;2,4;4;6,6;10;0,6;90;2,2;232;55;-88;12
4/11/2017;6,647;2;-74,07;1,9;2,7;4,4;22;0,8;57;2,8;129;56;-23;12
20/10/2017;6,68;2,5;-74,074;2,2;8,7;6,4;16;0,4;84;2,4;123;52;11;12
23/10/2017;6,666;1,9;-74,073;1,7;3;4;16;0,5;83;2;114;52;-30;12
23/10/2017;6,654;1,9;-74,06;1,8;4;4,1;22;0,7;56;2,5;106;84;-37;12
26/10/2017;6,646;2;-74,067;1,6;4;4,5;9;0,4;81;2,3;105;50;-58;12
21/10/2017;6,662;2;-74,065;1,8;1,5;4,5;18;0,5;82;2,5;87;78;-27;12
3/10/2017;6,657;2,9;-74,067;2,7;4;6,5;13;0,7;107;2;73;51;-52;12
21/10/2017;6,657;2,5;-74,07;2,2;2;5,8;11;0,7;82;2;14;46;110;12
