Year Date;Fecha;Sec;Error;L;E;Latitud;Error_1;Longitud;Error_2;Depth;Error_3;FF;AGA;NST;RMS;GAP;Mc;nn;Ml;field_21;Mw;Mb;Ms;MW_1;STRIK;DIP;RAKE;Mom;Strs;f0;r;Macro;Locality;MB_1;MS_1;FOCMEC;VMM
201.504.110.429;10/01/2015;7,1;5,39;L;;6,367;9,1;-73,122;13,6;0,2;20,6;;SGC;38;2,9;75;;;4,4;;;;;4,3;353;89;-29;15,6;123,4;2,44;0;;;;;1;0
201.608.021.401;18/02/2016;36,5;5,39;L;;6,593;13,1;-74,134;10,5;0;22,2;;SGC;18;2,3;53;;;2,9;;;;;3,3;345;36;69;14;11,4;4,03;0,49;;;;;1;1
201.302.250.806;22/12/2012;55,8;5,34;L;;6,344;17,1;-73,695;13,2;0;142,1;;SGC;8;2,3;139;;;2,5;;;;;3;306;14;-55;13,6;1,7;3,25;0,89;;;;;1;1
201.503.101.354;31/12/2014;6,7;4,62;L;;6,537;12,6;-73,828;10;30,5;66,2;;SGC;10;1,9;66;;;2,8;;;;;3;227;62;69;13,6;28,4;7,09;0,3;;;;;1;1
201.701.301.028;13/12/2016;27,3;3,33;L;;6,507;7,2;-73,325;8,8;0,2;25,1;;SGC;32;1,6;60;;;3,9;;;;;4;220;76;52;15,1;29,6;2,42;0,86;;;;;1;0
201.206.201.738;31/01/2012;36;3,06;L;;6,57;5,2;-74,131;4,9;0;28,2;;SGC;25;1,5;57;;;4,4;;;;;4,5;202;85;59;15,8;60,5;3,16;0,93;;;;;1;1
201.704.080.545;9/01/2017;37;3,76;L;;6,476;7,8;-73,29;10;0;33,7;;SGC;26;1,8;110;;;3,1;;;;;3,5;184;76;21;14,3;62;5,65;0,48;;;;;1;0
201.406.020.448;29/01/2014;44,3;6,24;L;;6,581;12,2;-73,836;12,8;31,2;97,8;;SGC;22;2,8;46;;;3,2;;;;;3,5;168;57;26;14,3;25,5;4,22;0,45;;;;;1;1
201.607.091.255;8/02/2016;56,8;4,81;L;;6,579;9,2;-74,125;9;0;16,6;;SGC;35;2,1;45;;;3,6;;;;;3,8;166;30;-168;14,7;35,9;3,18;0,71;;;;;1;1
201.705.120.257;20/01/2017;12,3;14,15;L;;7,391;55,1;-74,065;40,8;25;181,5;;SGC;25;8,1;116;;;3,2;;;;;3,5;163;55;-19;14,4;35;4,37;0,49;;;;;1;0
201.307.070.523;8/02/2013;58,6;7,73;L;;7,025;14;-73,942;13,8;0,2;999,9;;SGC;27;3,4;59;;;3,4;;;;;4,2;156;56;-66;15,4;2,6;0,908;0,28;;;;;1;1
201.410.022.048;31/12/2013;14;5,17;L;;7,103;11,3;-73,371;13,1;0;54,6;;SGC;11;2,3;89;;;3;;;;;3,2;154;37;-48;13,9;83,3;7,16;0,34;;;;;1;1
201.705.012.122;19/01/2017;7,1;4,81;L;;7,23;17;-73,4;11,1;0;114,7;;SGC;11;2,1;115;;;3;;;;;3,3;136;42;-113;14;16,1;4,62;0,38;;;;;1;1
201.306.050.955;29/01/2013;42,5;6,24;L;;7,225;16,1;-73,716;15,1;0;33,1;;SGC;17;2,9;61;;;3,5;;;;;3,5;131;48;62;14,4;13,8;3,61;0,55;;;;;1;1
201.308.102.114;19/02/2013;42,7;12,85;L;;6,632;29,3;-73,932;25,9;50,8;119,8;;SGC;16;6;68;;;3,1;;;;;3,2;91;37;60;13,9;50,5;8,12;0,2;;;;;1;1
200.012.010.824;20/01/2000;41,8;0,61;L;;6,637;5,3;-73,46;8,8;166;26;;SGC;4;0,5;183;;;3,1;COL;;;;;355;38;63;;;;;;;;;1;0
201.202.252.025;22/12/2011;47,2;2,42;L;;6,54;8,1;-73,434;8,3;24;31,9;;SGC;9;1,1;84;;;2,3;;;;;;353;69;113;;;;;;;;;1;0
201.206.282.116;31/01/2012;13;4,89;L;;6,947;15,6;-74,087;11,7;0;27,2;;SGC;9;2,4;85;;;2,5;;;;;;341;25;85;;;;;;;;;1;1
201.408.030.836;18/02/2014;46,1;5,32;L;;6,616;11,4;-73,49;10,7;0;23,2;;SGC;13;2,2;62;;;2,1;;;;;;340;20;71;;;;;;;;;1;0
201.105.120.327;20/01/2011;56,5;4,55;L;;6,859;10,6;-73,521;11,9;0;37,3;;SGC;18;2,1;51;;;3,6;;;;;;340;53;16;;;;;;;;;1;1
201.501.090.746;10/12/2014;18;4,46;L;;6,588;11,7;-73,884;10,4;31,3;56;;SGC;8;1,7;65;;;2,2;;;;;;338;68;91;;;;;;;;;1;1
200.004.301.354;12/01/2000;55,1;0,67;L;;6,779;11,2;-74,038;5,9;99,5;24,2;;SGC;5;0,5;214;;;3,5;COL;;;;;336;63;-64;;;;;;;;;1;1
201.411.182.328;11/01/2014;21,4;5,98;L;;7,234;18;-74,037;16,1;0;32,5;;SGC;9;2,4;106;;;2,1;;;;;;332;53;76;;;;;;;;;1;1
201.404.282.026;11/01/2014;17,2;4,64;L;;6,553;9,3;-74,1;9,6;0;20,2;;SGC;11;1,9;62;;;2,5;;;;;;332;87;-34;;;;;;;;;1;1
201.508.211.249;20/02/2015;24,2;17,77;L;;6,516;31,2;-73,816;34,5;0;98,4;;SGC;23;9,9;47;;;2,7;;;;;;326;24;-11;;;;;;;;;1;1
201.304.100.048;10/01/2013;8;6,54;L;;7,152;19,1;-73,934;12,7;0;31,7;;SGC;10;2,6;99;;;2,7;;;;;;320;51;-17;;;;;;;;;1;1
201.709.190.228;1/03/2017;32,4;5,51;L;;6,362;14,7;-74,001;12,7;0;56,7;;SGC;18;2,3;59;;;2,3;;;;;;318;48;17;;;;;;;;;1;1
201.304.060.112;9/01/2013;46,4;2,92;L;;7,089;9;-73,361;9,8;37,1;21,2;;SGC;11;1,4;91;;;2,1;;;;;;317;63;31;;;;;;;;;1;1
200.010.280.652;2/01/2000;23;1,11;L;;6,762;17,2;-73,582;17,9;73,8;101,1;;SGC;4;1,3;290;;;3,1;COL;;;;;309;34;-89;;;;;;;;;1;1
201.407.040.150;8/02/2014;8,5;4,09;L;;6,35;9,9;-73,857;8,8;34;36,8;;SGC;13;1,7;77;;;2,4;;;;;;307;61;-67;;;;;;;;;1;1
201.412.170.210;21/01/2014;52,4;4,68;L;;6,49;9,6;-74,138;8,9;0;41,8;;SGC;16;2,1;56;;;2,4;;;;;;304;85;47;;;;;;;;;1;1
200.305.070.013;19/01/2003;47,2;4,66;L;;6,6;23,2;-73,161;35,5;0;90,2;;SGC;8;2,8;179;;;3,6;;;;;;303;25;19;;;;;;;;;1;0
199.901.181.743;11/12/1998;24,9;5,33;L;;6,413;18,9;-73,681;17,4;0;74,8;;SGC;8;2,6;104;;;3,8;;;;;;302;85;-9;;;;;;;;;1;1
201.401.131.946;11/12/2013;19,2;3,68;L;;6,355;8,9;-74,004;9;42;32,9;;SGC;10;1,4;69;;;2,2;;;;;;300;36;-113;;;;;;;;;1;1
200.612.280.738;22/01/2006;14,8;5,06;L;;6,637;21,7;-73,421;47;48;75,3;;SGC;7;2,7;105;;;3,2;;;;;;299;33;-87;;;;;;;;;1;0
201.702.280.736;22/12/2016;41,7;6,94;L;;6,975;16;-73,729;13,9;0;29,2;;SGC;15;2,9;73;;;2,7;;;;;;298;60;43;;;;;;;;;1;1
201.310.101.611;1/01/2013;33,9;3,23;L;;6,612;8,8;-73,26;10,3;16,4;21,3;;SGC;6;1,3;80;;;2;;;;;;296;82;-90;;;;;;;;;1;0
201.704.150.905;10/01/2017;51,1;5,56;L;;6,475;17,4;-73,468;13,2;0;49,1;;SGC;13;2,3;67;;;2,1;;;;;;295;89;29;;;;;;;;;1;0
201.411.170.233;11/01/2014;54,4;4,68;L;;6,709;11,5;-74,102;9,8;0;92,3;;SGC;12;1,5;64;;;2,3;;;;;;295;0;8;;;;;;;;;1;1
200.710.050.359;31/12/2006;14,2;1,55;L;;6,479;8,2;-74,008;7,4;28,1;70,3;;SGC;11;1;115;;;3,7;;;;;;288;87;-55;;;;;;;;;1;1
201.612.130.926;21/01/2016;23,1;6,58;L;;7,2;29;-73,457;16,7;0;50,7;;SGC;11;2,9;154;;;2;;;;;;280;38;-99;;;;;;;;;1;1
199.801.210.708;12/12/1997;29,8;1,58;L;;6,653;21,2;-73,092;31,5;86;23,6;;SGC;6;1,3;303;;;3,2;;;;;;279;35;-89;;;;;;;;;1;0
201.709.202.253;2/03/2017;31;5,29;L;;6,757;13,1;-73,72;12,7;0;27,9;;SGC;8;2,2;59;;;2;;;;;;276;48;-65;;;;;;;;;1;1
201.406.071.900;29/01/2014;7,3;7,62;L;;7,05;20,6;-73,945;26,7;0;63,7;;SGC;13;2,6;60;;;2,3;;;;;;275;18;-85;;;;;;;;;1;1
201.401.292.247;12/12/2013;2,2;3,23;L;;6,469;9;-74,047;7,2;30;31,7;;SGC;11;1,4;61;;;2,5;;;;;;274;51;-44;;;;;;;;;1;1
201.701.161.753;11/12/2016;30,7;5,94;L;;6,971;14,6;-73,701;14,7;0;31,9;;SGC;8;2,4;74;;;2,4;SGC;;;;;271;51;-89;;;;;;;;;1;1
201.312.140.158;21/01/2013;17,8;3,46;L;;6,404;9,8;-73,819;8,2;50;28,5;;SGC;10;1,4;74;;;2,4;;;;;;268;77;-111;;;;;;;;;1;1
201.711.142.236;11/01/2017;46;7,86;L;;6,681;16,8;-74,044;15,5;0;147,7;;SGC;16;3;83;;;2,5;;;;;;266;43;-88;;;;;;;;;1;1
201.711.110.600;11/01/2017;16,1;7,35;L;;6,749;15,7;-73,999;15,1;0;148,2;;SGC;17;3,1;88;;;2,5;;;;;;266;37;-87;;;;;;;;;1;1
200.001.211.218;12/12/1999;48,6;2,17;L;;6,792;11,4;-73,407;14,4;0;207,9;;SGC;6;2,1;128;;;3,2;COL;;;;;265;36;-91;;;;;;;;;1;0
201.710.190.951;1/01/2017;2,9;5,25;L;;6,656;13,7;-74,119;11,7;0;26,7;;SGC;9;2,5;83;;;2,1;;;;;;264;41;-90;;;;;;;;;1;1
199.610.311.104;3/01/1996;19,7;2,34;L;;6,997;64,5;-73,255;39,7;0,2;91,8;;SGC;6;1,1;279;;;3;;;;;;262;69;-140;;;;;;;;;1;0
201.504.112.059;10/01/2015;27,4;6,21;L;;6,371;12,8;-73,086;20,1;0;41,7;;SGC;12;2,6;158;;;2,1;;;;;;259;49;-3;;;;;;;;;1;0
200.603.140.957;31/12/2005;4,8;4,22;L;;6,489;18,8;-73,631;21,7;0;41,1;;SGC;7;2,9;109;;;3,4;;;;;;259;69;-89;;;;;;;;;1;1
201.601.192.046;11/12/2015;6,5;4,47;L;;7,232;10,8;-73,595;12,2;42;58,4;;SGC;9;1,8;68;;;2,1;;;;;;256;9;-62;;;;;;;;;1;1
200.604.270.248;11/01/2006;28,6;1,55;L;;6,335;7,7;-73,459;10,6;54,3;19,7;;SGC;10;0,7;98;;;3;;;;;;248;12;-61;;;;;;;;;1;0
201.504.110.628;10/01/2015;32,4;4,87;L;;6,402;10,3;-73,101;15,4;0;23,7;;SGC;10;2;155;;;2,2;;;;;;243;52;-23;;;;;;;;;1;0
200.010.250.714;2/01/2000;41,2;0,76;L;;6,777;17,3;-73,469;15,1;89,3;35,6;;SGC;6;0,7;293;;;3,9;COL;;;;;243;10;-61;;;;;;;;;1;0
201.501.040.159;10/12/2014;23,7;7,42;L;;6,872;12,5;-73,859;13,9;0;28,2;;SGC;17;3,1;52;;;2,3;;;;;;241;23;-89;;;;;;;;;1;1
199.801.130.917;11/12/1997;28,3;2,44;L;;6,304;11,8;-73,171;38,1;46,1;66,7;;SGC;6;2,1;170;;;3,2;COL;;;;;236;75;-90;;;;;;;;;1;0
201.409.142.238;1/03/2014;9,7;6,59;L;;6,644;12,2;-74,12;11,5;0;116,6;;SGC;22;2,8;44;;;2,7;;;;;;235;61;-49;;;;;;;;;1;1
200.011.161.614;11/01/2000;48,1;0,47;L;;6,828;12,4;-73,241;12,6;95,1;35,5;;SGC;4;0,5;298;;;3,3;COL;;;;;233;66;-64;;;;;;;;;1;0
201.709.292.234;2/03/2017;54,7;6,14;L;;6,723;18;-74,038;13,6;24,8;107,9;;SGC;9;2,5;87;;;2,2;;;;;;232;55;-88;;;;;;;;;1;1
