year;month;day;hour;min;sec;ID_CAVE;lat;lon;dep;mag;qID;cID;nbrach;qnpair;qndiffP;qndiffS;rmsP;rmsS;eh;ez;et;latC;lonC;depC
2019;1;16;17;28;36;126874;5.897;-74.859;-1.47;1.3;32014;32013;1;0;0;0;0;0;-1;-1;-1;5.897;-74.859;-1.47
2020;3;31;0;53;7;145108;6.726;-72.966;-1.45;0.9;48718;13752;1;0;0;0;0;0;-1;-1;-1;6.726;-72.966;-1.45
2021;9;26;3;32;38;165737;6.307;-74.758;-1.45;0.9;68208;27794;1;0;0;0;0;0;-1;-1;-1;6.307;-74.758;-1.45
2019;3;3;9;17;28;128862;9.105;-73.693;-1.4;1.3;33599;33598;1;0;0;0;0;0;-1;-1;-1;9.105;-73.693;-1.4
2020;7;30;21;46;33;150174;6.587;-73.063;-1.39;1.2;53557;4653;1;0;0;0;0;0;-1;-1;-1;6.587;-73.063;-1.39
2020;10;29;17;53;17;153596;5.877;-74.873;-1.39;2.1;56968;11382;1;0;0;0;0;0;-1;-1;-1;5.877;-74.873;-1.39
2019;7;3;4;58;58;133972;6.79;-73.537;-1.38;0.8;39311;39310;1;0;0;0;0;0;-1;-1;-1;6.79;-73.537;-1.38
2020;5;4;6;42;34;146687;6.073;-73.915;-1.33;1.4;50392;4213;1;0;0;0;0;0;-1;-1;-1;6.073;-73.915;-1.33
2021;5;3;20;33;29.597;202254;5.95583;-74.86827;-1.318;1.2;64100;279;6;5;12;1;0.05;0.03;-1;-1;-1;5.936;-74.859;0
2018;12;4;18;58;5;124924;9.119;-73.965;-1.3;0.8;29837;29836;1;0;0;0;0;0;-1;-1;-1;9.119;-73.965;-1.3
2020;2;24;20;11;27;143432;5.738;-74.809;-1.24;0.6;47398;3550;1;0;0;0;0;0;-1;-1;-1;5.738;-74.809;-1.24
2020;8;23;4;14;19;150990;7.077;-73.247;-1.24;1.8;54355;12038;1;0;0;0;0;0;-1;-1;-1;7.077;-73.247;-1.24
2020;10;7;7;25;48;152699;6.246;-74.513;-1.2;1.6;56993;22749;1;0;0;0;0;0;-1;-1;-1;6.246;-74.513;-1.2
2020;8;23;23;18;2;150987;5.887;-74.831;-1.14;2.6;54673;11969;1;0;0;0;0;0;-1;-1;-1;5.887;-74.831;-1.14
2020;11;25;15;37;15;154581;8.315;-73.454;-1.13;1.8;57502;5142;1;0;0;0;0;0;-1;-1;-1;8.315;-73.454;-1.13
2020;6;30;23;48;14;148945;5.878;-74.885;-1.09;1.9;52435;4522;1;0;0;0;0;0;-1;-1;-1;5.878;-74.885;-1.09
2018;3;12;1;59;57;115808;5.106;-74.073;-1.01;1.7;21052;32231;1;0;0;0;0;0;-1;-1;-1;5.106;-74.073;-1.01
2018;3;23;13;38;35;116177;5.278;-74.005;-1;1.7;21620;3924;1;0;0;0;0;0;-1;-1;-1;5.278;-74.005;-1
2020;7;1;14;40;35;149009;6.832;-73.323;-1;1.4;53715;12165;1;0;0;0;0;0;-1;-1;-1;6.832;-73.323;-1
2021;3;12;9;37;38;158515;4.831;-74.877;-1;0.7;61975;20345;1;0;0;0;0;0;-1;-1;-1;4.831;-74.877;-1
2021;5;5;17;54;39;160355;5.773;-74.225;-1;1.2;64102;19278;1;0;0;0;0;0;-1;-1;-1;5.773;-74.225;-1
2019;9;25;17;45;29;137121;7.01;-73.38;-0.95;1.1;41376;20687;1;0;0;0;0;0;-1;-1;-1;7.01;-73.38;-0.95
2019;2;4;16;21;45;127795;5.913;-74.133;-0.93;2.2;33072;37177;1;0;0;0;0;0;-1;-1;-1;5.913;-74.133;-0.93
2021;4;12;0;22;9;159476;6.697;-74.546;-0.78;1.6;62892;9941;1;0;0;0;0;0;-1;-1;-1;6.697;-74.546;-0.78
2018;6;18;21;34;55;119054;5.835;-74.796;-0.75;0.7;24549;27173;1;0;0;0;0;0;-1;-1;-1;5.835;-74.796;-0.75
2019;7;14;20;7;37;134431;5.881;-74.197;-0.74;1.2;39361;39360;1;0;0;0;0;0;-1;-1;-1;5.881;-74.197;-0.74
2021;11;28;3;24;55;167888;6.014;-73.996;-0.72;0.9;70278;33122;1;0;0;0;0;0;-1;-1;-1;6.014;-73.996;-0.72
2021;10;14;18;44;50.294;166317;5.96079;-74.87867;-0.654;1;69243;279;6;3;5;1;0.14;0.03;-1;-1;-1;5.969;-74.873;-0.25
2019;5;14;20;27;45;132142;5.716;-74.83;-0.62;1.2;37040;37039;1;0;0;0;0;0;-1;-1;-1;5.716;-74.83;-0.62
2018;9;18;18;10;40.906;198918;6.98542;-74.09599;-0.616;1.2;26732;88;17;12;14;21;0.06;0.09;-1;-1;-1;6.988;-74.095;0
2020;2;6;7;30;20;142671;7.379;-73.18;-0.61;1.5;46569;14486;1;0;0;0;0;0;-1;-1;-1;7.379;-73.18;-0.61
2020;3;2;15;19;12;143748;5.807;-74.092;-0.6;1.2;48838;13707;1;0;0;0;0;0;-1;-1;-1;5.807;-74.092;-0.6
2021;9;23;18;37;45.992;165645;5.94442;-74.8619;-0.568;1.3;68085;279;6;5;11;3;0.17;0.45;-1;-1;-1;5.921;-74.85;-0.39
2019;8;30;22;38;35;136019;4.762;-74.673;-0.48;1;40293;40292;1;0;0;0;0;0;-1;-1;-1;4.762;-74.673;-0.48
2019;5;7;19;39;11;131831;5.726;-74.847;-0.47;0.8;37299;37298;1;0;0;0;0;0;-1;-1;-1;5.726;-74.847;-0.47
2020;9;30;18;49;49.471;152442;5.9442;-74.86039;-0.47;0.6;55792;279;6;5;13;2;0.15;0.38;-1;-1;-1;5.954;-74.845;-0.01
2019;8;9;9;37;10;135326;7.173;-73.181;-0.44;0.9;39571;39570;1;0;0;0;0;0;-1;-1;-1;7.173;-73.181;-0.44
2021;11;4;20;53;28.286;166964;7.30732;-74.19263;-0.431;1.1;69405;2021;2;1;1;3;0;0.01;-1;-1;-1;7.314;-74.182;0.71
2018;7;17;8;36;59;119720;6.273;-73.862;-0.43;0.8;25299;25298;1;0;0;0;0;0;-1;-1;-1;6.273;-73.862;-0.43
2021;2;5;20;18;0;157336;7.162;-73.218;-0.43;1.2;60357;21123;1;0;0;0;0;0;-1;-1;-1;7.162;-73.218;-0.43
2018;9;16;9;52;42;121770;5.033;-74.62;-0.42;2.6;26692;24520;1;0;0;0;0;0;-1;-1;-1;5.033;-74.62;-0.42
2019;1;10;10;8;28.924;199334;5.91672;-74.0925;-0.417;1.3;31907;1482;2;1;1;2;0;0;-1;-1;-1;5.905;-74.102;0
2019;5;13;6;56;28.588;199777;7.06181;-73.34394;-0.411;1.1;37029;569;4;2;4;6;0.02;0.01;-1;-1;-1;7.056;-73.333;0
2020;12;31;22;14;28;155923;5.872;-74.894;-0.41;1.7;58688;29343;1;0;0;0;0;0;-1;-1;-1;5.872;-74.894;-0.41
2021;8;31;5;28;18;164772;6.094;-74.235;-0.38;1.8;67056;17933;1;0;0;0;0;0;-1;-1;-1;6.094;-74.235;-0.38
2018;12;29;6;44;15;125968;5.983;-74.049;-0.35;1.7;30850;20473;1;0;0;0;0;0;-1;-1;-1;5.983;-74.049;-0.35
2020;5;12;20;39;20;147031;6.611;-73.058;-0.32;1.1;50679;6497;1;0;0;0;0;0;-1;-1;-1;6.611;-73.058;-0.32
2020;6;13;9;18;56;148249;6.798;-73.136;-0.32;1.5;51824;4431;1;0;0;0;0;0;-1;-1;-1;6.798;-73.136;-0.32
2021;1;17;23;27;42.805;156626;7.06367;-73.34083;-0.308;1;60056;569;4;3;5;6;0.01;0.01;-1;-1;-1;7.065;-73.343;0
2020;10;23;0;45;30;153361;8.909;-73.811;-0.29;2.2;56331;23077;1;0;0;0;0;0;-1;-1;-1;8.909;-73.811;-0.29
2018;10;16;23;1;53;122979;4.805;-74.638;-0.28;1.6;28526;11357;1;0;0;0;0;0;-1;-1;-1;4.805;-74.638;-0.28
2019;9;16;21;3;39;136699;6.353;-74.341;-0.25;1;40749;40748;1;0;0;0;0;0;-1;-1;-1;6.353;-74.341;-0.25
2018;9;20;19;20;23;121915;6.443;-73.829;-0.22;0.9;27071;24165;1;0;0;0;0;0;-1;-1;-1;6.443;-73.829;-0.22
2019;3;30;10;3;13;130272;6.6;-73.538;-0.22;1.1;34737;33992;1;0;0;0;0;0;-1;-1;-1;6.6;-73.538;-0.22
2021;6;8;13;52;29;161644;8.907;-73.612;-0.22;1.7;64377;38326;1;0;0;0;0;0;-1;-1;-1;8.907;-73.612;-0.22
2020;10;26;20;1;27;153478;5.811;-74.904;-0.2;0.7;56980;5687;1;0;0;0;0;0;-1;-1;-1;5.811;-74.904;-0.2
2021;4;10;17;24;3;159433;5.847;-73.651;-0.2;1.5;62887;19888;1;0;0;0;0;0;-1;-1;-1;5.847;-73.651;-0.2
2021;6;28;14;20;22;162369;6.494;-74.534;-0.2;1.5;65239;37592;1;0;0;0;0;0;-1;-1;-1;6.494;-74.534;-0.2
2016;2;24;12;3;14.052;196127;6.78578;-73.53167;-0.196;1.4;1006;241;6;5;10;8;0.01;0.01;-1;-1;-1;6.796;-73.535;0
2018;8;18;10;11;4;120697;7.681;-73.257;-0.19;0.7;25692;25691;1;0;0;0;0;0;-1;-1;-1;7.681;-73.257;-0.19
2016;11;13;16;51;56.021;196843;6.94413;-74.46062;-0.172;1.2;7831;2371;2;1;1;3;0;0.01;-1;-1;-1;6.938;-74.465;0
2019;11;7;16;11;41;138784;5.843;-74.92;-0.17;0.5;43816;7742;1;0;0;0;0;0;-1;-1;-1;5.843;-74.92;-0.17
2020;2;2;6;48;59;142513;4.954;-74.335;-0.17;1.5;46479;7258;1;0;0;0;0;0;-1;-1;-1;4.954;-74.335;-0.17
2016;2;21;4;57;37.12;196117;6.7862;-73.53167;-0.165;0.8;1147;241;6;5;7;8;0.01;0.01;-1;-1;-1;6.801;-73.533;0.2
2021;5;27;21;47;30;161147;6.545;-74.551;-0.15;1.3;64095;19280;1;0;0;0;0;0;-1;-1;-1;6.545;-74.551;-0.15
2020;4;5;8;35;42.137;145363;6.08948;-73.94408;-0.128;2.1;49120;2552;2;1;2;3;0.01;0;-1;-1;-1;6.1;-73.944;-0.18
2020;12;27;1;26;28;155754;6.005;-73.489;-0.12;1.5;58568;22073;1;0;0;0;0;0;-1;-1;-1;6.005;-73.489;-0.12
2018;9;22;4;6;52;121976;6.784;-73.551;-0.11;1.4;26804;26803;1;0;0;0;0;0;-1;-1;-1;6.784;-73.551;-0.11
2020;8;29;19;1;59;151213;5.862;-74.891;-0.11;1;54555;11998;1;0;0;0;0;0;-1;-1;-1;5.862;-74.891;-0.11
2019;2;10;0;39;48.076;128008;5.91928;-74.0925;-0.103;1.4;33450;1482;2;1;1;2;0;0;-1;-1;-1;5.931;-74.083;-0.52
2019;5;29;23;51;18.716;199837;5.69152;-74.27192;-0.101;1.4;37240;1657;2;1;4;3;0.15;0;-1;-1;-1;5.679;-74.267;0
2019;4;17;10;47;57;131068;7.003;-73.262;-0.09;1.5;35274;35273;1;0;0;0;0;0;-1;-1;-1;7.003;-73.262;-0.09
2016;6;20;7;34;38.619;196393;6.78831;-73.53037;-0.081;1.9;3165;241;6;5;15;12;0.01;0.02;-1;-1;-1;6.792;-73.528;0
2018;5;8;9;29;19;117859;5.297;-74.068;-0.08;1.6;23713;23712;1;0;0;0;0;0;-1;-1;-1;5.297;-74.068;-0.08
2020;5;6;18;32;10;146788;7.996;-73.725;-0.07;1.4;51377;25720;1;0;0;0;0;0;-1;-1;-1;7.996;-73.725;-0.07
2021;4;11;20;47;40;159471;6.926;-73.263;-0.07;1.1;62714;39931;1;0;0;0;0;0;-1;-1;-1;6.926;-73.263;-0.07
2019;5;2;15;50;12;131654;6.86;-73.487;-0.06;1.8;36154;36153;1;0;0;0;0;0;-1;-1;-1;6.86;-73.487;-0.06
2016;9;29;7;21;29.383;17997;6.00117;-74.00631;-0.059;1.1;5972;1233;2;1;3;2;0;0;-1;-1;-1;5.986;-74.007;0
2017;1;3;0;7;36.829;197006;7.37269;-73.13566;-0.052;1.2;8952;41;41;39;85;54;0.08;0.04;-1;-1;-1;7.383;-73.132;2.5
2020;2;28;0;23;56.863;200814;6.08852;-73.94592;-0.052;1.4;47401;2552;2;1;2;3;0.01;0;-1;-1;-1;6.078;-73.946;0
2020;1;16;17;17;38;141781;8.806;-74.226;-0.05;1.2;45728;29526;1;0;0;0;0;0;-1;-1;-1;8.806;-74.226;-0.05
2021;5;24;9;54;0;161073;7.56;-73.816;-0.05;0.7;63551;19542;1;0;0;0;0;0;-1;-1;-1;7.56;-73.816;-0.05
2021;4;13;9;22;14;159512;4.904;-74.612;-0.04;0.8;62322;40412;1;0;0;0;0;0;-1;-1;-1;4.904;-74.612;-0.04
2021;9;23;7;32;50;165643;7.598;-74.13;-0.04;1.5;67825;35210;1;0;0;0;0;0;-1;-1;-1;7.598;-74.13;-0.04
